Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit_Label
11/21/2013,21,November,2013,24,Youth (<25),M,France,Yveline,Accessories,Tires and Tubes,Patch Kit/8 Patches,23,1,2,12,23,35,Low
7/24/2015,24,July,2015,35,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,1008,1266,2274,High
9/8/2015,8,September,2015,28,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",26,42,54,3,1092,1095,Low
10/24/2015,24,October,2015,21,Youth (<25),M,United States,California,Clothing,Caps,AWC Logo Cap,15,7,9,27,105,132,Low
3/2/2016,2,March,2016,26,Young Adults (25-34),M,United Kingdom,England,Clothing,Caps,AWC Logo Cap,16,7,9,26,112,138,Low
7/29/2015,29,July,2015,50,Adults (35-64),F,Canada,British Columbia,Bikes,Road Bikes,"Road-150 Red, 56",1,2171,3578,1371,2171,3542,High
3/3/2014,3,March,2014,33,Young Adults (25-34),F,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Red",19,13,35,312,247,559,High
11/10/2015,10,November,2015,28,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,ML Mountain Tire,11,11,30,206,121,327,High
8/8/2015,8,August,2015,47,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,ML Road Tire,22,9,25,231,198,429,High
5/3/2015,3,May,2015,21,Youth (<25),F,United Kingdom,England,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443,790,1555,2345,High
1/12/2014,12,January,2014,24,Youth (<25),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",3,13,35,62,39,101,Low
12/23/2015,23,December,2015,64,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,Touring Tire Tube,11,2,5,31,22,53,Low
2/6/2016,6,February,2016,37,Adults (35-64),F,Australia,New South Wales,Clothing,Gloves,"Half-Finger Gloves, L",15,9,24,178,135,313,High
5/2/2014,2,May,2014,38,Adults (35-64),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,8,1,2,6,8,14,Low
12/1/2015,1,December,2015,34,Young Adults (25-34),F,Germany,Saarland,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1,420,769,211,420,631,High
8/16/2013,16,August,2013,30,Young Adults (25-34),F,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,19,2,5,45,38,83,Low
10/4/2013,4,October,2013,43,Adults (35-64),F,Germany,Nordrhein-westfalen,Accessories,Tires and Tubes,LL Mountain Tire,2,9,25,26,18,44,Low
2/21/2014,21,February,2014,45,Adults (35-64),F,Australia,Victoria,Accessories,Tires and Tubes,HL Mountain Tire,19,13,35,278,247,525,High
10/7/2015,7,October,2015,25,Young Adults (25-34),M,France,Seine (paris),Bikes,Road Bikes,"Road-550-W Yellow, 44",1,713,1120,205,713,918,High
9/24/2013,24,September,2013,29,Young Adults (25-34),F,United States,California,Bikes,Touring Bikes,"Touring-1000 Blue, 50",1,1482,2384,854,1482,2336,High
8/3/2015,3,August,2015,20,Youth (<25),F,United States,Oregon,Accessories,Fenders,Fender Set - Mountain,1,8,22,11,8,19,Low
8/17/2015,17,August,2015,53,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,17,2,5,50,34,84,Low
12/4/2013,4,December,2013,17,Youth (<25),M,Australia,New South Wales,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",6,38,50,33,228,261,Low
6/11/2011,11,June,2011,37,Adults (35-64),M,United States,California,Bikes,Road Bikes,"Road-650 Red, 48",4,487,783,1121,1948,3069,High
12/1/2013,1,December,2013,27,Young Adults (25-34),F,Australia,South Australia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,11,10,21,Low
7/5/2013,5,July,2013,43,Adults (35-64),M,Australia,Queensland,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,835,2171,3006,High
8/7/2015,7,August,2015,38,Adults (35-64),M,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,53,45,98,Low
10/17/2013,17,October,2013,55,Adults (35-64),M,Canada,British Columbia,Accessories,Cleaners,Bike Wash - Dissolver,20,3,8,98,60,158,Low
6/6/2013,6,June,2013,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,420,769,334,420,754,High
5/12/2016,12,May,2016,30,Young Adults (25-34),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2,1252,2295,1076,2504,3580,High
12/20/2015,20,December,2015,31,Young Adults (25-34),F,Australia,New South Wales,Accessories,Cleaners,Bike Wash - Dissolver,6,3,8,24,18,42,Low
1/26/2013,26,January,2013,29,Young Adults (25-34),M,Australia,Queensland,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443,497,1555,2052,High
10/20/2015,20,October,2015,26,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",1,420,769,334,420,754,High
12/27/2013,27,December,2013,19,Youth (<25),M,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,942,2171,3113,High
10/24/2015,24,October,2015,51,Adults (35-64),F,United States,California,Clothing,Shorts,"Women's Mountain Shorts, M",1,26,70,43,26,69,Low
5/29/2014,29,May,2014,25,Young Adults (25-34),F,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,10,2,5,29,20,49,Low
12/31/2013,31,December,2013,25,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443,864,1555,2419,High
9/20/2013,20,September,2013,42,Adults (35-64),F,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, S",15,9,24,221,135,356,High
8/31/2013,31,August,2013,39,Adults (35-64),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",15,13,35,309,195,504,High
10/16/2015,16,October,2015,41,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,ML Mountain Tire,17,11,30,313,187,500,High
11/28/2011,28,November,2011,31,Young Adults (25-34),M,United States,Washington,Bikes,Road Bikes,"Road-650 Black, 48",1,487,783,124,487,611,High
6/9/2014,9,June,2014,34,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2,20,20,40,Low
4/27/2013,27,April,2013,28,Young Adults (25-34),F,United States,California,Bikes,Road Bikes,"Road-750 Black, 44",1,344,540,185,344,529,High
9/14/2015,14,September,2015,26,Young Adults (25-34),M,Australia,Victoria,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,4,3,7,Low
7/7/2015,7,July,2015,44,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,942,2171,3113,High
9/27/2015,27,September,2015,24,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,713,1120,344,1426,1770,High
5/9/2016,9,May,2016,24,Youth (<25),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Blue",2,13,35,35,26,61,Low
4/28/2016,28,April,2016,34,Young Adults (25-34),M,Australia,Queensland,Bikes,Touring Bikes,"Touring-2000 Blue, 46",2,755,1215,531,1510,2041,High
6/18/2016,18,June,2016,44,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Touring Tire Tube,29,2,5,84,58,142,Low
6/29/2016,29,June,2016,27,Young Adults (25-34),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",12,9,24,174,108,282,High
2/6/2013,6,February,2013,25,Young Adults (25-34),F,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,882,1252,2134,High
11/21/2015,21,November,2015,28,Young Adults (25-34),F,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Red",22,13,35,384,286,670,High
10/14/2013,14,October,2013,31,Young Adults (25-34),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",26,13,35,554,338,892,High
4/28/2014,28,April,2014,33,Young Adults (25-34),M,Australia,Queensland,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,14,21,35,Low
3/8/2011,8,March,2011,46,Adults (35-64),M,Australia,New South Wales,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,126,344,470,High
2/26/2013,26,February,2013,31,Young Adults (25-34),F,France,Seine Saint Denis,Bikes,Road Bikes,"Road-550-W Yellow, 38",1,713,1120,205,713,918,High
2/12/2014,12,February,2014,53,Adults (35-64),F,Canada,British Columbia,Clothing,Caps,AWC Logo Cap,4,7,9,8,28,36,Low
2/18/2016,18,February,2016,42,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,1252,2295,1489,2504,3993,High
2/18/2016,18,February,2016,58,Adults (35-64),F,United Kingdom,England,Bikes,Touring Bikes,"Touring-2000 Blue, 60",2,755,1215,823,1510,2333,High
12/16/2015,16,December,2015,19,Youth (<25),F,France,Hauts De Seine,Accessories,Tires and Tubes,LL Road Tire,18,8,21,208,144,352,High
11/19/2015,19,November,2015,24,Youth (<25),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,3,2,5,Low
10/17/2015,17,October,2015,19,Youth (<25),F,Australia,Queensland,Bikes,Road Bikes,"Road-650 Red, 48",3,487,783,512,1461,1973,High
7/9/2013,9,July,2013,26,Young Adults (25-34),M,France,Somme,Accessories,Bottles and Cages,Road Bottle Cage,23,3,9,101,69,170,High
6/26/2014,26,June,2014,51,Adults (35-64),M,Australia,Queensland,Accessories,Tires and Tubes,Road Tire Tube,17,1,4,40,17,57,Low
7/21/2014,21,July,2014,22,Youth (<25),F,Australia,New South Wales,Clothing,Caps,AWC Logo Cap,30,7,9,25,210,235,Low
11/15/2015,15,November,2015,27,Young Adults (25-34),F,France,Loiret,Accessories,Tires and Tubes,Touring Tire Tube,31,2,5,76,62,138,Low
2/21/2016,21,February,2016,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,83,56,139,Low
4/18/2014,18,April,2014,36,Adults (35-64),F,Australia,South Australia,Accessories,Tires and Tubes,Patch Kit/8 Patches,22,1,2,14,22,36,Low
5/19/2014,19,May,2014,20,Youth (<25),M,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",30,38,50,300,1140,1440,High
2/2/2014,2,February,2014,24,Youth (<25),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,11,1,2,6,11,17,Low
12/1/2015,1,December,2015,50,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, M",17,9,24,251,153,404,High
12/30/2015,30,December,2015,38,Adults (35-64),M,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,5,1,4,12,5,17,Low
5/11/2014,11,May,2014,51,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,722,1252,1974,High
12/3/2013,3,December,2013,28,Young Adults (25-34),F,United States,Washington,Accessories,Fenders,Fender Set - Mountain,15,8,22,137,120,257,High
9/14/2015,14,September,2015,63,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,21,13,35,447,273,720,High
12/18/2015,18,December,2015,34,Young Adults (25-34),F,Germany,Hamburg,Accessories,Helmets,"Sport-100 Helmet, Blue",12,13,35,235,156,391,High
11/21/2013,21,November,2013,23,Youth (<25),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,538,1252,1790,High
5/6/2013,6,May,2013,38,Adults (35-64),M,Germany,Bayern,Bikes,Road Bikes,"Road-350-W Yellow, 44",1,1083,1701,601,1083,1684,High
12/6/2015,6,December,2015,28,Young Adults (25-34),F,Germany,Hessen,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5,19,14,33,Low
1/7/2014,7,January,2014,34,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,16,2,5,47,32,79,Low
5/20/2016,20,May,2016,77,Seniors (64+),F,United Kingdom,England,Accessories,Tires and Tubes,ML Road Tire,20,9,25,300,180,480,High
12/2/2015,2,December,2015,45,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,52,36,88,Low
7/18/2014,18,July,2014,29,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,6,6,12,Low
4/26/2015,26,April,2015,21,Youth (<25),M,Australia,South Australia,Bikes,Road Bikes,"Road-150 Red, 48",1,2171,3578,763,2171,2934,High
5/25/2016,25,May,2016,23,Youth (<25),M,Australia,Queensland,Accessories,Bottles and Cages,Water Bottle - 30 oz.,8,2,5,18,16,34,Low
2/17/2016,17,February,2016,38,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,Touring Tire Tube,5,2,5,12,10,22,Low
1/14/2016,14,January,2016,37,Adults (35-64),M,Australia,New South Wales,Accessories,Bottles and Cages,Road Bottle Cage,22,3,9,106,66,172,High
10/26/2013,26,October,2013,53,Adults (35-64),M,United States,California,Clothing,Caps,AWC Logo Cap,24,7,9,44,168,212,Low
11/26/2013,26,November,2013,40,Adults (35-64),F,Germany,Hessen,Accessories,Tires and Tubes,Patch Kit/8 Patches,26,1,2,22,26,48,Low
2/21/2016,21,February,2016,25,Young Adults (25-34),F,Australia,New South Wales,Accessories,Tires and Tubes,Mountain Tire Tube,15,2,5,35,30,65,Low
11/1/2015,1,November,2015,20,Youth (<25),F,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,10,1,2,6,10,16,Low
2/17/2014,17,February,2014,36,Adults (35-64),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",7,9,24,102,63,165,High
6/27/2014,27,June,2014,30,Young Adults (25-34),F,Australia,Queensland,Accessories,Tires and Tubes,Road Tire Tube,13,1,4,31,13,44,Low
7/26/2013,26,July,2013,24,Youth (<25),M,Australia,Tasmania,Accessories,Cleaners,Bike Wash - Dissolver,17,3,8,59,51,110,Low
6/20/2014,20,June,2014,42,Adults (35-64),M,France,Hauts De Seine,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,32,24,56,Low
11/8/2013,8,November,2013,30,Young Adults (25-34),M,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Black",26,13,35,536,338,874,High
10/22/2012,22,October,2012,32,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",2,1266,2320,2015,2532,4547,High
8/25/2013,25,August,2013,53,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,10,2,5,30,20,50,Low
9/3/2013,3,September,2013,44,Adults (35-64),F,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Black",11,13,35,238,143,381,High
6/10/2014,10,June,2014,34,Young Adults (25-34),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, L",28,9,24,407,252,659,High
3/9/2014,9,March,2014,23,Youth (<25),M,United States,California,Clothing,Gloves,"Half-Finger Gloves, S",23,9,24,334,207,541,High
5/12/2014,12,May,2014,52,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,ML Road Tire,8,9,25,120,72,192,High
6/3/2016,3,June,2016,30,Young Adults (25-34),F,France,Hauts De Seine,Accessories,Tires and Tubes,Patch Kit/8 Patches,8,1,2,7,8,15,Low
8/30/2013,30,August,2013,39,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,18,2,5,34,36,70,Low
3/15/2016,15,March,2016,18,Youth (<25),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,19,2,5,56,38,94,Low
8/7/2011,7,August,2011,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Road Bikes,"Road-650 Red, 44",4,487,783,1153,1948,3101,High
12/9/2013,9,December,2013,30,Young Adults (25-34),F,France,Val D'oise,Accessories,Tires and Tubes,LL Road Tire,22,8,21,189,176,365,High
11/23/2015,23,November,2015,23,Youth (<25),F,Australia,Victoria,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",2,38,50,3,76,79,Low
6/14/2014,14,June,2014,53,Adults (35-64),F,Germany,Bayern,Accessories,Helmets,"Sport-100 Helmet, Red",22,13,35,476,286,762,High
10/14/2015,14,October,2015,25,Young Adults (25-34),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,20,2,5,58,40,98,Low
1/29/2016,29,January,2016,36,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",10,38,50,115,380,495,High
4/15/2016,15,April,2016,47,Adults (35-64),M,United States,Washington,Bikes,Road Bikes,"Road-650 Black, 62",3,487,783,371,1461,1832,High
12/26/2015,26,December,2015,50,Adults (35-64),M,Germany,Saarland,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,13,21,34,Low
4/26/2014,26,April,2014,32,Young Adults (25-34),M,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",12,38,50,120,456,576,High
3/19/2016,19,March,2016,44,Adults (35-64),M,Germany,Hamburg,Accessories,Tires and Tubes,Road Tire Tube,5,1,4,14,5,19,Low
8/4/2013,4,August,2013,29,Young Adults (25-34),M,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,14,12,26,Low
9/23/2015,23,September,2015,38,Adults (35-64),M,Australia,Victoria,Clothing,Caps,AWC Logo Cap,22,7,9,2,154,156,Low
1/17/2014,17,January,2014,32,Young Adults (25-34),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",1,13,35,21,13,34,Low
5/12/2016,12,May,2016,38,Adults (35-64),M,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,7,6,13,Low
12/8/2015,8,December,2015,29,Young Adults (25-34),M,Germany,Saarland,Accessories,Helmets,"Sport-100 Helmet, Black",18,13,35,283,234,517,High
1/14/2016,14,January,2016,44,Adults (35-64),F,Australia,New South Wales,Accessories,Fenders,Fender Set - Mountain,20,8,22,223,160,383,High
9/8/2013,8,September,2013,20,Youth (<25),M,United States,California,Accessories,Cleaners,Bike Wash - Dissolver,18,3,8,87,54,141,Low
7/28/2016,28,July,2016,46,Adults (35-64),M,United Kingdom,England,Accessories,Tires and Tubes,Mountain Tire Tube,4,2,5,11,8,19,Low
4/17/2016,17,April,2016,50,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,Patch Kit/8 Patches,25,1,2,18,25,43,Low
12/24/2015,24,December,2015,50,Adults (35-64),M,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",25,13,35,358,325,683,High
12/31/2015,31,December,2015,28,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,HL Mountain Tire,24,13,35,511,312,823,High
5/5/2016,5,May,2016,35,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,32,2,5,93,64,157,Low
11/29/2013,29,November,2013,45,Adults (35-64),M,Canada,British Columbia,Bikes,Touring Bikes,"Touring-1000 Yellow, 46",1,1482,2384,878,1482,2360,High
12/13/2013,13,December,2013,27,Young Adults (25-34),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,17,12,29,Low
4/28/2014,28,April,2014,41,Adults (35-64),M,United States,Washington,Clothing,Vests,"Classic Vest, S",18,24,64,467,432,899,High
4/20/2016,20,April,2016,41,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,11,1,2,11,11,22,Low
7/8/2016,8,July,2016,21,Youth (<25),F,United States,Oregon,Accessories,Tires and Tubes,Touring Tire Tube,16,2,5,37,32,69,Low
12/19/2013,19,December,2013,42,Adults (35-64),F,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,29,1,2,21,29,50,Low
10/17/2013,17,October,2013,52,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,3,1,2,3,3,6,Low
6/18/2016,18,June,2016,55,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,544,1266,1810,High
12/17/2015,17,December,2015,29,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Touring Tire,15,11,29,261,165,426,High
3/27/2016,27,March,2016,29,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Touring Tire,18,11,29,314,198,512,High
9/15/2015,15,September,2015,46,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,HL Road Tire,28,12,33,551,336,887,High
5/26/2014,26,May,2014,29,Young Adults (25-34),F,France,Nord,Accessories,Helmets,"Sport-100 Helmet, Red",18,13,35,314,234,548,High
1/23/2014,23,January,2014,48,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",10,13,35,213,130,343,High
1/23/2016,23,January,2016,31,Young Adults (25-34),F,United States,California,Accessories,Fenders,Fender Set - Mountain,1,8,22,14,8,22,Low
1/24/2014,24,January,2014,46,Adults (35-64),F,Australia,Victoria,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,83,344,427,Low
9/14/2015,14,September,2015,25,Young Adults (25-34),F,Germany,Hessen,Accessories,Tires and Tubes,LL Mountain Tire,16,9,25,228,144,372,High
5/6/2016,6,May,2016,51,Adults (35-64),M,United Kingdom,England,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,34,24,58,Low
12/28/2013,28,December,2013,40,Adults (35-64),M,France,Nord,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,14,12,26,Low
10/6/2013,6,October,2013,38,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,17,2,5,32,34,66,Low
4/25/2015,25,April,2015,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,997,1252,2249,High
2/13/2014,13,February,2014,26,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,Touring Tire,24,11,29,279,264,543,High
6/14/2014,14,June,2014,35,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Red",29,13,35,618,377,995,High
8/8/2013,8,August,2013,42,Adults (35-64),F,Australia,New South Wales,Accessories,Bottles and Cages,Mountain Bottle Cage,24,4,10,113,96,209,High
6/10/2016,10,June,2016,36,Adults (35-64),F,Australia,Queensland,Clothing,Gloves,"Half-Finger Gloves, M",2,9,24,22,18,40,Low
5/5/2016,5,May,2016,51,Adults (35-64),F,United States,California,Clothing,Vests,"Classic Vest, S",16,24,64,620,384,1004,High
4/5/2016,5,April,2016,26,Young Adults (25-34),F,Australia,New South Wales,Clothing,Caps,AWC Logo Cap,18,7,9,15,126,141,Low
7/26/2016,26,July,2016,31,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,21,2,5,62,42,104,Low
10/26/2015,26,October,2015,24,Youth (<25),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,1252,2295,1076,2504,3580,High
1/10/2016,10,January,2016,61,Adults (35-64),M,Australia,Victoria,Accessories,Tires and Tubes,Road Tire Tube,10,1,4,22,10,32,Low
11/24/2015,24,November,2015,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Tires and Tubes,LL Mountain Tire,6,9,25,95,54,149,Low
10/22/2015,22,October,2015,41,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,16,1,2,15,16,31,Low
9/17/2013,17,September,2013,46,Adults (35-64),M,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5,56,48,104,Low
6/15/2016,15,June,2016,43,Adults (35-64),M,United Kingdom,England,Clothing,Socks,"Racing Socks, L",30,3,9,169,90,259,High
10/9/2013,9,October,2013,17,Youth (<25),M,United States,California,Accessories,Tires and Tubes,Road Tire Tube,13,1,4,38,13,51,Low
11/7/2015,7,November,2015,27,Young Adults (25-34),M,United States,Oregon,Accessories,Tires and Tubes,Road Tire Tube,3,1,4,7,3,10,Low
8/2/2015,2,August,2015,21,Youth (<25),M,United States,Washington,Accessories,Tires and Tubes,Patch Kit/8 Patches,6,1,2,3,6,9,Low
3/6/2014,6,March,2014,58,Adults (35-64),M,Canada,British Columbia,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",22,38,50,253,836,1089,High
4/21/2014,21,April,2014,33,Young Adults (25-34),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Red",23,13,35,474,299,773,High
2/18/2013,18,February,2013,39,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-400-W Silver, 40",1,420,769,188,420,608,High
8/12/2015,12,August,2015,24,Youth (<25),F,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,59,50,109,Low
12/6/2015,6,December,2015,33,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",2,1083,1701,1100,2166,3266,High
5/25/2014,25,May,2014,31,Young Adults (25-34),F,United States,Oregon,Accessories,Helmets,"Sport-100 Helmet, Black",23,13,35,393,299,692,High
10/12/2013,12,October,2013,28,Young Adults (25-34),M,France,Yveline,Accessories,Tires and Tubes,Touring Tire Tube,7,2,5,13,14,27,Low
11/18/2013,18,November,2013,32,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,1020,1252,2272,High
5/23/2014,23,May,2014,42,Adults (35-64),F,United States,California,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",13,42,54,142,546,688,High
8/22/2013,22,August,2013,36,Adults (35-64),M,United Kingdom,England,Clothing,Caps,AWC Logo Cap,7,7,9,11,49,60,Low
8/19/2013,19,August,2013,23,Youth (<25),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2,4,4,8,Low
11/13/2015,13,November,2015,18,Youth (<25),F,United States,Washington,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,11,12,23,Low
11/18/2015,18,November,2015,29,Young Adults (25-34),F,Australia,Victoria,Clothing,Gloves,"Half-Finger Gloves, S",28,9,24,279,252,531,High
2/17/2016,17,February,2016,43,Adults (35-64),M,Australia,Queensland,Bikes,Road Bikes,"Road-150 Red, 52",1,2171,3578,835,2171,3006,High
3/29/2016,29,March,2016,52,Adults (35-64),M,France,Hauts De Seine,Accessories,Tires and Tubes,LL Road Tire,13,8,21,150,104,254,High
12/24/2012,24,December,2012,29,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",2,1083,1701,1100,2166,3266,High
2/7/2014,7,February,2014,43,Adults (35-64),F,United States,California,Clothing,Caps,AWC Logo Cap,14,7,9,25,98,123,Low
6/20/2016,20,June,2016,46,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,HL Road Tire,12,12,33,165,144,309,High
7/20/2016,20,July,2016,35,Adults (35-64),F,United States,Oregon,Accessories,Tires and Tubes,Patch Kit/8 Patches,1,1,2,1,1,2,Low
1/14/2016,14,January,2016,19,Youth (<25),F,Australia,Victoria,Accessories,Tires and Tubes,Patch Kit/8 Patches,17,1,2,10,17,27,Low
8/28/2013,28,August,2013,36,Adults (35-64),F,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,46,32,78,Low
9/23/2013,23,September,2013,22,Youth (<25),F,United States,California,Clothing,Shorts,"Women's Mountain Shorts, M",27,26,70,1150,702,1852,High
